round,player_hand,dealer_hand,actions,result
519,"2,9,6","6,6,7",2,-1
520,"11,10","9,9",0,1
521,"7,9","11,4,10,7",0,0
522,"10,10","10,5,6",0,-1
523,"10,10","10,10",0,0
524,"5,2,10,8","7,8,3","1,1",-1
525,"6,10,10","3,8,11,8",1,-1
526,"3,5,10","7,4,3,11,11,10",2,0
527,"10,7","10,10",0,-1
528,"2,10,8","10,7",2,1
529,"10,10","3,3,10,7",0,0
530,"4,11","11,8",0,-1
531,"3,10,9","2,5,5,6",1,-1
532,"10,3,10","10,6,11",2,-1
533,"10,7,6","8,4,6",1,-1
534,"10,3,10","4,7,10",1,-1
535,"6,5,8","10,3,9",2,0
536,"10,3,2","9,10",2,-1
537,"4,6,8","5,10,7",2,0
538,"10,6,10","10,7",2,-1
539,"2,11,8","5,9,8","3,2",1
539,"2,11","5,9,8","3,2",0
540,"10,10","5,10,2",0,1
541,"11,6,5","11,4,8,10",2,0
542,"10,10","5,6,3,9",0,0
543,"10,10","11,6",0,1
544,"7,11,10,11","8,10","1,1,0",1
545,"2,7,8","2,10,7",2,-1
546,"8,3,11","5,9,2,6",2,0
547,"8,10,3","7,10",1,1
548,"6,11,4","2,2,2,4,4,10",1,1
549,"4,10,2,6","3,11,10,6","1,1",-1
550,"10,7","10,4,3",0,0
551,"3,7,5","5,4,4,8",2,-1
552,"9,2,3","10,10",2,-1
553,"5,8","6,3,3,6",0,-1
554,"10,4,10","10,8",2,-1
555,"11,5","9,2,11,10",0,0
556,"2,10,3","5,10,7",2,0
557,"2,9,8","10,5,11,10",2,0
558,"5,10","10,10",0,-1
559,"4,9","6,7,4",0,-1
560,"10,10","10,4,10",0,0
561,"10,11","10,9",0,1
562,"9,11","6,10,2",0,1
563,"10,10","10,11",,-1
564,"5,10","10,9",0,-1
565,"10,4,10","11,7",2,-1
566,"5,9","9,9",0,-1
567,"9,10","11,9",0,-1
568,"3,10,4","10,4,6",2,-1
569,"7,10,3","4,9,5","1,0",1
570,"9,3,3","9,11",2,-1
571,"3,7,4","10,10",2,-1
572,"10,2,10","8,11",2,-1
573,"7,5","11,10",,-1
574,"3,7,10","9,7,3","3,2",1
574,"3,6","9,7,3","3,2",-1
575,"10,2,4","10,5,10",2,0
576,"2,10,6","10,6,9",2,0
577,"11,2,10","6,2,11",2,-1
578,"10,10","4,11,2",0,1
579,"6,10","10,3,10",0,0
580,"10,10","10,3,2,8",0,0
581,"8,6","10,11",,-1
582,"10,8","10,11",,-1
583,"10,4","10,4,10",0,0
584,"5,10,2,9","5,9,8","1,1",-1
585,"7,10,2,10","7,10","1,1",-1
586,"9,6,8","4,8,10",1,-1
587,"10,11","10,6,5",0,0
588,"10,3,10","10,10",2,-1
589,"7,10,11,5","6,8,10","1,1",-1
590,"2,8,5","7,4,6",2,-1
591,"3,10,10","10,5,8",2,-1
592,"10,10","7,2,10",0,1
593,"6,3","9,5,11,9",0,0
594,"10,9,8","7,2,5,4",1,-1
595,"11,4","10,9",0,-1
596,"10,11","2,2,11,11,11",0,1
597,"4,3,9","10,6,10","1,0",0
598,"9,10,10","8,8,6",1,-1
599,"4,10","10,7",0,-1
600,"9,7","9,10",0,-1
601,"8,9","9,10","3,0",-1
601,"8,3","9,10","3,0",-1
602,"10,2,5","9,3,7",2,-1
603,"3,7,7","8,5,10","3,3,2",0
603,"3,6","8,5,10","3,3,2",0
603,"3,3","8,5,10","3,3,2",0
604,"9,11","5,10,6",0,-1
605,"7,5,10","10,4,7",2,-1
606,"4,7,6","2,4,4,10","3,2",-1
606,"4,10","2,4,4,10","3,2",-1
607,"11,5,2,10,11,10","5,10,6","1,1,1,1",-1
608,"10,8","11,11,10,2,10","3,0",0
608,"10,5","11,11,10,2,10","3,0",0
609,"8,10,10","4,8,6",1,-1
610,"4,5,7","5,8,7",2,-1
611,"8,7","10,11",,-1
612,"7,10,10","2,10,9",1,-1
613,"3,10,6,9","3,10,10","1,1",-1
614,"3,6,9","4,10,7",2,-1
615,"10,11","2,4,8,10",0,1
616,"10,2,10","4,10,9",2,-1
617,"9,11","3,10,2,6",0,-1
618,"4,11","10,5,9",0,0
619,"2,3,6","10,8","1,0",-1
620,"7,2,9","10,10","1,0",-1
621,"4,5,10","5,10,10",2,0
622,"11,8,9,10","4,6,8","1,1",-1
623,"5,10","11,10",,-1
624,"2,10","11,10",,-1
625,"10,6,10","4,5,7,6",1,-1
626,"11,8","11,3,6",0,-1
627,"6,10,8","5,7,10",1,-1
628,"6,3,9","3,10,10",2,0
629,"10,7","10,10",0,-1
630,"2,3","3,4,2,6,9",0,0
631,"8,6","6,10,8",0,0
632,"8,5","5,10,5",0,-1
633,"10,11","6,7,3,5",0,0
634,"10,11","7,3,11",0,0
635,"9,11,3","10,10","1,0",-1
636,"11,2","5,5,2,4,10",0,0
637,"10,8","10,10",0,-1
638,"2,5","11,10",,-1
639,"6,10","10,7",0,-1
640,"6,10,10","4,9,7",1,-1
641,"10,4","6,8,7",0,-1
642,"9,10,10","2,9,10",1,-1
643,"4,2,9","9,3,10","1,0",0
644,"2,10,2","4,11,5",2,-1
645,"10,11","8,10",0,1
646,"10,4","11,7",0,-1
647,"5,10,10","6,4,7",1,-1
648,"10,9,10","8,5,10",1,-1
649,"6,10","10,5,3",0,-1
650,"10,5","7,11",0,-1
